Python,SQL,Hadoop,Excel,R,SPSS,SAS,Matlab,Java,分类,聚类,关联,回归,1-3年,1年以下,3-5年,5-10年,不限,Sal_Avg
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6000
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10000
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6500
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15000
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10000
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16500
0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,7500
1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,27500
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20000
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19000
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,15000
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11500
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21500
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,15000
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,15000
1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,22500
1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,10500
0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,15000
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,22500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7500
1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,15000
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6500
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12500
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,30000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9000
