C_Name,P_Name,P_id,Sal,Sal1,Sal2,Sal_Avg,Work_Year,Description
骆驼服饰,数据分析,4318685,4K-8K,4,8,6.0,1-3年,"五险一金，餐补，免费班车岗位职责： 1、负责公司商品方面的数据分析(包括库存/售罄率/销售状况/货品结构等),为公司提供全面的数据分析结果,提出合理化建议,令销售取得更好的经营效益。 2、按照商品结构分析提供合理的订购指标,依据区域性消费结构,提供合理的商品组织结构和尺码配比。 3、跟进商品卸货期,及时反馈,关注销售变化,下补订单。 4、协助其他部门配合商品资料核准及其他工作安排。 5、有鞋类或服装行业分析岗位工作经验者优先。 任职要求: 1、大专以上学历，2年以上鞋子或服装公司工作经验; 2、熟悉ERP,对进、销、存数据变化具有敏感性; 3、熟练使用Excel、PPT等数据工具; 4、条理清晰,有良好的表达能力及沟通能力; 5、做事认真负责,有上进心,有责任感,能承受工作压力,团队意识强。 "
AI考拉,数据分析师,4409112,8k-12k,8,12,10.0,不限,"双休,发展空间大,团队氛围好,人性化管理 工作职责：1. 负责收集和梳理业务部门数据需求，对业务数据进行分析，为业务部门的数据化运营提供支持； 2. 负责数据的收集/清洗/分析方案设计和实现； 3. 依据业务需求，负责数据产品的规划和设计开发，为数据分析和运营等人员搭建友好高效的数据产品。 任职要求： 1. 本科学历及以上，计算机/数学/统计学等相关专业，1-3年数据分析经验； 2. 熟悉Linux系统操作；掌握Python、Java等至少一种语言；熟练编写SQL代码； 3. 对业务有敏锐的洞察力，有较强的业务理解与分析能力； 4. 工作主动性强，善于交流和沟通，抗压能力强； 5. 具有1-2年金融行业的BI或数据平台开发岗位经验优先考虑； 6. 了解行业前沿的大数据处理方法和框架。"
广东智源,数据分析师,3010209,5k-8k,5,8,6.5,1-3年,"五险一金,绩效奖金,月度活动,年度旅游岗位职责：1、参与数据分析相关项目设计、开发工作；2、根据项目需要进行需求规划、产品设计功能；3、编制软件技术文档。任职资格：1、计算机、数学或相关专业本科或以上学历；2、掌握分析的理论知识与数据分析方法，并能灵活运用到实践工作中。3、具有较强的文档撰写能力；4、具有良好的职业道德和工作态度，良好的团队合作和协调能力；5、具备数据处理编程基础，懂Oracle数据库、R语言、Python语言、大数据处理技术等优先；6、熟练使用BI相关工具软件优先。"
晓教育,数据分析,3820723,5k-7k,5,7,6.0,1-3年,"CBD办公,发展空间大,五险一金,福利齐全【岗位职责】1、2年以上EHR、ERP等相关系统实施管理经验；2、本科及以上学历，人力资源或计算机、信息管理相关专业；3、了解人力资源各业务模块的工作，了解人力资源共享中心模式；4、具备良好的逻辑思维能力、有一定的数据统计及分析能力；5、具备一定的项目管理能力、项目控制和推动能力。【任职资格】1、人力资源信息平台搭建，包括EHR开发需求调研、开发进度跟进、系统后续优化方案评估、落实；2、整合HR相关数据（包括基础信息、薪酬、绩效、晋升、培训等），建立规范、统一的数据逻辑标准；3、保持现有人力资源过程数据的完整性，建立相关统计报表分析，以提供决策支持；4、根据HR相关规章制度和工作流程，对系统平台进行日常数据维护、系统权限管理和后台配置管理，保障其安全、有序运行；5、必要时需参与公司其他系统与人力资源信息平台的整合项目。"
合众财富,数据分析师,4053325,10k-20k,10,20,15.0,3-5年,"五险一金,年终奖,周末双休,加班补贴工作职责：1、针对用户触达/下载/激活/留存/转化全生态链路，建立可视化数据统计系统；2、负责数据统计平台的搭建，定期输出用户运营数据报告完成数据逻辑和用户行为、用户事件埋点，进行用户行为分析；3、完成归类、标签、分层，最终完成用户画像建模。要求：1、互联网金融2年以上从业经历，或者互联网产品经理相关5年以上从业经历；2、有较强风控意识，及数据敏感度；3、熟悉growingIO，诸葛IO，神策等工具。"
健客网,数据分析师/数据运营员,4475902,6k-12k,6,12,9.0,不限,"大平台,竞争力薪资,晋升空间大岗位职责：1. 负责数据仓库系统的建模和模型维护，配合软件工程师搭建数据化体系；2. 理解业务需求，针对价格数据进行挖掘，评估和统计分析，进行图形化展示，依据数据做出常规分析报告，专项分析报告及营销改进方案，和运营配合达成项目目标；3. 根据收集的市场和行业信息，提出问题，并在一定程度上给予评估和建议；4. 负责运营及业务人员进行工具、技能和方法论的培训，推广系统化分析平台；5. 日常支持性数据分析/应用项目跟进工作，或公司安排的其他工作。 任职要求：1. 数学、统计学本科及以上学历， 1年以上数据仓库项目经验，可独立工作；2. 强烈的好奇心，对解决具有挑战性问题充满激情；3. 较强的逻辑思维能力，善于提出产品流程设计及整体解决方案，较强的主动沟通意识和表达能力；4. 有ETL经验，熟悉使用 Oracle, SQL, 有BI工具（OBIEE，QLikeView，Tableau）相关经验，熟悉数据仓库相关理论知识，了解企业数据分析工具；熟悉电商常用模型，购物篮分析，关联分析等优先；（面试时请携带相关数据分析报告）5. 对数据挖掘方法和工具有一定的了解；6. 有报表、仪表盘交互展现设计经验以及良好的业务文档编写能力；7. 了解基础电商知识，有医药行业或者大型零售行业数据分析经验优先。"
广州楠天,数据分析,4204877,2k-4k,2,4,3.0,不限,"团队氛围好,下午茶招聘岗位：数据分析岗位职责：1、协助运营部统计数据2、协助处理系统安装事宜（有岗前培训）岗位要求：1、具备基本的office操作技能2、男女不限，计算机专业者优先3、接受应届毕业生，可全日制实习者优先绩效另算劳逸结合的工作时间：大小周轮休制，每天工作7小时，上午09：30-12：30，下午14：00-18：00。完善的薪资待遇：五险齐全、全勤奖、绩效奖、年终奖，带薪年假、婚假、产假、带薪病假、等假期，健全的薪酬考勤机制。愉快的工作氛围：小伙伴们都是80后90后居多，同事之间的愉悦相处让你工作更加轻松。舒适的工作环境：坐落于创意园区，交通便利，双地铁还有BRT，周边临近步行街。公司内部还设有健身器材和设备完善的茶水间。丰富的员工活动：公司定期组织各种精彩的团队活动，集体旅游、户外拓展、生日聚会、看电影等，适当缓解工作压力，增进同事感情。令人心动的其他福利：多样的下午茶，节假日福利品等。"
活动时,数据分析师,3818560,8k-12k,8,12,10.0,1-3年,"发展空间大,扁平化管理,平台大任职要求：1、本科以上学历，数学或统计学相关专业，211、985高校者优先；2、至少2年以上互联网公司、电商网站、网络营销等数据分析与策略制定相关的工作经历；3、熟悉数理统计/数据挖掘等相关理论；精通SPSS、Excel等数据分析工具；4、具有良好的逻辑分析能力，对数据有较强的敏感的，善于揣摩用户的行为习惯和需求，根据数据分析结果指定相应的方案和调整计划；5、态度端正，抗压能力强，出色的学习能力，富有合作精神，责任心强。岗位职责：1、基于海量数据，持续对消费者的消费行为进行分析，直接输出可以促进消费者二次消费等直接刺激销售增长的方案；2、对产品数据、运营数据等进行跟踪，挖掘数据中的关键点，并根据情况输出产品及渠道的改进、优化方案，提供运营思路；3、根据运营需求，撰写专项分析报告，为公司运营发展提供数据支持；4、实现运营中数据价值化，确保数据的精准率，为公司各层面运营工作提供数据支持；5、对公司运营各销售节点数据的监控分析评估诊断，支持各销售阶段决策分析，风险价值评估，调研分析评估，营销进展中阶段性的监控，诊断分析并提出改进建议；6、主持或协助对业务数据进行分析及模型的构建；持续地改进数据采集、处理、分析、报告等各个流程上的工作。"
欢聚时代（YY Inc）,数据分析师 (MJ000702),4320931,13k-20k,13,20,16.5,1-3年,"福利多,平台大岗位职责：1.  负责的数据分析工作，包括数据系统建设、用户画像和内容标签的完善、日常数据分析和专题分析；2.  根据数据分析结果制定合理高效的内容分发策略；3.  配合部门业务方向，并从数据分析专业角度输出周期性、专项数据分析报告及建议，为业务决策、产品方向、运营策略提供决策支撑；4.  根据数据分析结果输出产品优化建议和运营方向建议；5.  负责智能化推荐的算法设计及规划；任职要求：1.  本科及以上学历，数学、统计等专业优先考虑；2.  有2年以上数据分析、数据挖掘等相关工作经验；3.  有互联网金融行业数据分析经验、有数据挖掘项目经验、熟练使用数据分析工具者优先；4.  数据敏感度及逻辑能力强，有清晰的思路和数据建模方法论；5.  学习能力和思考能力强，有换位思考和举一反三的能力；"
云房数据,数据分析师,876023,5k-10k,5,10,7.5,不限,"五险一金 周末双休岗位职责：1.对房地产数据进行分析2.对房地产有关联的行业数据进行分析。 任职要求：1、至少熟悉使用一种数据库，熟练使用sql语句2、至少掌握一种数据分析工具(R/SAS/SPSS/Matlab),3、有房地产行业数据分析经验者优先 公司福利：1、购买六险一金（养老保险，医疗保险，失业保险，生育保险，工伤保险，意外险，住房公积金）2、法定带薪假期、1年1-2次加薪机会，丰厚的年终奖；3、员工结婚、生日、生育均有一定的贺金，不定期举办集体活动，每年组织一次旅游活动；4、每年定期组织外出旅游，丰富的员工活动（例如：每周五天河体育中心包场篮球运动）5、公司实行5天7小时工作制（工作时间为上午8:30-12：00；下午14：00-17：30）。6、定期公司给予员工福利食品。"
